,result/resultsNew.out
,sec/op,CI
Gol/512x512x1000-1-8,4.3258081875,4%
Gol/512x512x1000-2-8,4.323843479000001,0%
Gol/512x512x1000-3-8,4.324236625,0%
Gol/512x512x1000-4-8,4.320739292000001,0%
Gol/512x512x1000-5-8,4.3219137085,0%
Gol/512x512x1000-6-8,4.3339395210000005,4%
Gol/512x512x1000-7-8,4.542604771000001,12%
Gol/512x512x1000-8-8,4.4807953750000005,5%
Gol/512x512x1000-9-8,4.5485967085,8%
Gol/512x512x1000-10-8,4.4882728125,9%
Gol/512x512x1000-11-8,4.501074770500001,5%
Gol/512x512x1000-12-8,4.343241041000001,0%
Gol/512x512x1000-13-8,4.4967356255,2%
Gol/512x512x1000-14-8,4.3506410835,0%
Gol/512x512x1000-15-8,4.3396856875,0%
Gol/512x512x1000-16-8,4.335878271,0%
geomean,4.397755031065831
